date,onboarding_time_days,projects_completed,on_time_deliveries,on_time_rate,defects,defect_rate,rework_hours,client_satisfaction,team_utilization_pct,lead_to_kickoff_days,kickoff_to_launch_days,total_cycle_time
2024-01-01,18.893840718367944,4,4,1.0,0,0.0,0.0,4.10170135602067,62.25828386778584,10.790890923113524,28.871000018337938,39.66189094145146
2024-01-02,22.212152570443614,5,5,1.0,0,0.0,0.0,4.2307043047649,61.53912575561589,11.363270790254088,30.02756113101982,41.39083192127391
2024-01-03,22.43326229830058,1,1,1.0,1,1.0,11.872884344184007,4.122291406578333,74.14258251612017,17.007732130747097,35.53722362930133,52.544955760048424
2024-01-04,18.271837635615782,4,3,0.75,0,0.0,0.0,4.229895409526293,60.972194767070405,7.797346275735469,30.479940823642192,38.27728709937766
2024-01-05,17.813088858821686,3,3,1.0,0,0.0,0.0,4.342077729190555,62.14603979385445,16.22448719413586,37.3070242764306,53.531511470566464
2024-01-06,22.57934448400409,3,2,0.6666666666666666,1,0.3333333333333333,18.12962331637229,3.8289147867365756,54.436347095325786,16.08776626246759,32.0788927126323,48.16665897509989
2024-01-07,21.75147855103763,2,1,0.5,0,0.0,0.0,4.303934462849093,67.34457978638945,11.142594327894528,43.0604215780133,54.203015905907826
2024-01-08,22.42149876273536,3,3,1.0,0,0.0,0.0,4.327345873216935,72.52428467969608,10.529435640082502,31.021032966998167,41.55046860708067
2024-01-09,16.89038682985111,5,5,1.0,0,0.0,0.0,3.9684657751520227,70.00533878212005,10.571369774334869,22.503752513572213,33.07512228790708
2024-01-10,22.447417245729557,4,2,0.5,0,0.0,0.0,3.9459618845794786,52.88122220251309,12.213940191731915,35.994791560264304,48.20873175199622
2024-01-11,21.642281232390612,3,3,1.0,2,0.6666666666666666,20.48268848756877,3.8262783663864037,73.45938807089901,14.205443437918541,36.10713010362317,50.31257354154171
2024-01-12,24.198595632293213,4,3,0.75,1,0.25,16.181478381775005,4.631206898500058,65.05845098192506,19.323525311888343,36.91741827352878,56.24094358541713
2024-01-13,21.696888474529214,2,2,1.0,0,0.0,0.0,4.252854276615697,50.692027960156025,15.429218167746535,27.09827736227076,42.5274955300173
2024-01-14,21.240596137622443,0,0,0.0,0,0.0,0.0,4.668114042339864,66.02840800056865,16.19830538025067,21.103897351867722,37.30220273211839
2024-01-15,28.16710787217739,6,6,1.0,0,0.0,0.0,4.75302412749616,58.825447377945956,20.645206922432617,27.660270361947425,48.305477284380046
2024-01-16,20.046459280468248,4,2,0.5,1,0.25,16.86966484018241,3.8019504701592313,79.74972638201477,11.077034387081387,21.04056186715809,32.11759625423947
2024-01-17,20.287824116379994,1,1,1.0,0,0.0,0.0,4.761601704141691,78.05929043145308,8.27943448815747,26.919688593121116,35.199123081278586
2024-01-18,21.392221731858275,5,5,1.0,0,0.0,0.0,4.394148809036113,66.00875862259224,6.410492070045369,38.963785331742244,45.374277401787616
2024-01-19,19.15459896668601,5,5,1.0,0,0.0,0.0,4.833395292484876,67.24793494188026,11.509201920717626,28.54314424749907,40.0523461682167
2024-01-20,19.5209971960235,1,1,1.0,0,0.0,0.0,4.485603328154008,76.62040197969897,15.448055647769882,34.06919893825007,49.51725458601995
2024-01-21,19.110897428204662,4,4,1.0,1,0.25,13.452856644048286,4.463026394985698,77.4228782067146,12.24192849810289,27.14459253060093,39.386521028703825
2024-01-22,21.7848691679174,5,5,1.0,1,0.2,9.460586828578137,4.297249905746533,63.95885556505852,14.387983859970873,34.166099178058396,48.55408303802927
2024-01-23,18.545337950299583,3,2,0.6666666666666666,1,0.3333333333333333,9.459297648779046,4.827716182705638,59.40682737526466,13.96473181501677,15.369875759588043,29.33460757460481
