year,service_line,investment,revenue_generated,roi,projects_delivered,avg_project_value,client_satisfaction
2022,Digital Marketing Campaigns,2891571.4741018154,7994822.787709235,2.7648712332772614,47,170102.61250445183,4.478926787357629
2022,Marketing Automation,1143187.9447396458,3532366.1132592317,3.08992596494158,17,207786.2419564254,4.692940916619948
2022,Brand Strategy,2357759.6711513,5715840.386003791,2.4242676028183703,15,381056.0257335861,4.775927881729595
2022,E-Commerce Optimization,1267146.0434922075,3796887.0054511246,2.996408365832122,23,165082.04371526628,4.146723607882747
2022,Content Marketing,1954464.1495909232,4215648.795109251,2.1569332934510985,34,123989.67044438972,4.232983312158433
2022,Social Media Management,1106886.493434492,2126607.944625288,1.921252049997252,28,75950.28373661742,4.293089474634954
2022,Email Marketing,2527387.11506463,8806995.048177147,3.4846244944759626,23,382912.8281816151,4.411387550730889
2022,SEO/SEM Services,902190.907983995,2367374.012544462,2.624027787904131,42,56366.047917725286,4.136419298949833
2022,Analytics & Reporting,2887548.1819573333,5523909.467530548,1.9130103185970557,58,95239.8184056991,4.646717878493169
2022,Client Success,1014878.6508140445,1791088.7748860654,1.7648304784512068,45,39801.9727752459,4.3521219949916805
2023,Digital Marketing Campaigns,1889389.2022447945,5344853.892483672,2.828879241044365,16,334053.3682802295,4.727456321663025
2023,Marketing Automation,2257549.0255787605,7402390.544068341,3.278950073817606,29,255254.84634718418,4.416054416942249
2023,Brand Strategy,1206679.8021561594,3055036.9177939473,2.5317709903945067,58,52673.050306792196,4.6201062586888915
2023,E-Commerce Optimization,2768620.1709408276,8800965.736287594,3.1788274277062953,41,214657.70088506327,4.7374993880184935
2023,Content Marketing,1231162.2973221194,2726952.795493579,2.214941767973994,17,160408.98797021052,4.260264264610611
2023,Social Media Management,1396967.869902571,2755925.807681523,1.9727911192930514,52,52998.57322464467,4.285402661354872
2023,Email Marketing,1993931.3829481467,7167173.260484133,3.5944934323101125,21,341293.9647849587,4.641757584603232
2023,SEO/SEM Services,2971151.260521138,7766150.632392687,2.6138523257245776,49,158492.87004883034,4.158972545227338
2023,Analytics & Reporting,2594015.142600635,5178068.345130213,1.9961596445959564,46,112566.70315500462,4.58320573443279
2023,Client Success,962898.2338149988,1869245.5463375908,1.941270095523644,31,60298.24343024487,4.092695247620104
2024,Digital Marketing Campaigns,2171255.8790206276,6930292.3654060075,3.1918358551696833,29,238975.5988071037,4.050846680228819
2024,Marketing Automation,1515403.3084588435,5233393.464484818,3.4534657772439137,47,111348.79711669826,4.510045977084171
2024,Brand Strategy,1838872.8353562886,5042601.523711039,2.74222416404015,20,252130.07618555194,4.570595829778396
2024,E-Commerce Optimization,2034809.8346528916,6660320.078691019,3.2731904305087904,49,135924.89956512282,4.395036477091512
2024,Content Marketing,1740590.2403888092,4221803.96865293,2.425501344710443,16,263862.74804080813,4.086313141594643
2024,Social Media Management,2200102.904780317,4382756.132970691,1.9920686998085273,29,151129.52182657554,4.406856552931762
2024,Email Marketing,1348442.904127525,5403093.52698545,4.006913092461547,33,163730.10687834697,4.604440910834439
2024,SEO/SEM Services,969355.8016233447,2697170.7461389713,2.7824362753306042,28,96327.5266478204,4.128977029803203
2024,Analytics & Reporting,2577864.8350417176,5914997.179980038,2.2945334835153663,43,137558.07395302414,4.697168472150174
2024,Client Success,1210454.1295492789,2469480.238170818,2.040127071226025,55,44899.64069401487,4.43147379353252
